,,"Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)"
"Country","Year","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Guinea","2015","59.0","58.2","59.8","16.7","16.4","17.1","51.7","51.5","51.9","12.4","12.2","12.6"
"Guinea-Bissau","2015","58.9","57.2","60.5","15.1","14.6","15.6","51.5","50.4","52.7","11.2","10.7","11.6"
"Guyana","2015","66.2","63.9","68.5","16.1","15.5","16.7","59.0","57.7","60.4","12.7","12.4","12.9"
"Haiti","2015","63.5","61.5","65.5","17.6","16.9","18.3","55.4","54.1","56.7","13.1","12.7","13.5"
"Honduras","2015","74.6","72.3","77.0","22.3","20.9","23.7","64.9","63.7","66.3","16.6","15.9","17.3"
"Hungary","2015","75.8","72.3","79.1","20.3","17.7","22.3","67.4","64.8","69.9","15.8","13.9","17.4"
"Iceland","2015","82.7","81.2","84.1","24.7","23.7","25.6","72.7","71.8","73.6","19.3","18.6","20"
"India","2015","68.3","66.9","69.9","17.9","17.2","18.6","59.6","58.8","60.4","13.3","12.8","13.7"
"Indonesia","2015","69.1","67.1","71.2","16.6","15.4","17.9","62.1","60.7","63.7","13.1","12.2","14.1"
"Iran (Islamic Republic of)","2015","75.5","74.5","76.6","19.6","19.3","19.9","66.5","66.4","66.7","15.2","15.4","15"
"Iraq","2015","68.9","66.2","71.8","18.3","17.0","19.5","60.0","58.1","62.1","13.4","12.5","14.2"
"Ireland","2015","81.4","79.4","83.4","24.1","22.6","25.6","71.5","70.3","72.7","18.9","17.8","19.9"
"Israel","2015","82.5","80.6","84.3","25.0","23.7","26.2","72.8","71.6","73.9","19.5","18.6","20.4"
"Italy","2015","82.7","80.5","84.8","25.1","23.3","26.6","72.8","71.8","73.7","19.9","18.7","20.9"
"Jamaica","2015","76.2","73.9","78.6","22.4","21.2","23.6","67.0","65.9","68.1","17.3","16.7","18"
"Japan","2015","83.7","80.5","86.8","26.1","23.4","28.7","74.9","72.5","77.2","21.1","18.9","23.1"
"Jordan","2015","74.1","72.5","75.9","19.2","18.0","20.4","65.0","64.3","65.9","14.8","14.1","15.5"
"Kazakhstan","2015","70.2","65.7","74.7","17.5","14.8","19.6","63.3","59.8","66.8","14.3","12.2","15.9"
"Kenya","2015","63.4","61.1","65.8","16.9","16.2","17.6","55.6","53.9","57.4","12.8","12.3","13.2"
"Kiribati","2015","66.3","63.7","68.8","16.9","15.6","17.9","58.7","56.7","60.6","12.7","11.6","13.5"
"Kuwait","2015","74.7","73.7","76.0","17.9","17.5","18.4","65.7","65.1","66.6","13.8","13.5","14.1"
"Kyrgyzstan","2015","71.1","67.2","75.1","17.9","15.6","20.0","63.9","61.0","66.9","14.6","12.8","16.2"
"Lao People's Democratic Republic","2015","65.7","64.1","67.2","16.8","15.9","17.6","57.9","56.7","59.1","12.4","11.8","13"
"Latvia","2015","74.6","69.6","79.2","20.1","16.8","22.6","67.1","63.2","70.7","16.5","13.8","18.4"
"Lebanon","2015","74.9","73.5","76.5","18.9","17.8","20.1","65.7","64.9","66.7","14.4","13.6","15.3"
"Lesotho","2015","53.7","51.7","55.4","15.8","14.6","16.6","46.6","45.2","47.9","11.7","10.9","12.3"
"Liberia","2015","61.4","59.8","62.9","15.6","15.0","16.2","52.7","51.7","53.7","11.2","10.7","11.7"
"Libya","2015","72.7","70.1","75.6","18.4","16.9","19.9","63.7","62.3","65.3","13.9","13.1","14.7"
"Lithuania","2015","73.6","68.1","79.1","19.4","15.5","22.6","66.1","62.0","70.2","15.8","12.8","18.2"
"Luxembourg","2015","82.0","79.8","84.0","24.3","22.5","25.9","71.8","70.4","73.1","18.9","17.5","20.1"
"Madagascar","2015","65.5","63.9","67.0","17.0","16.3","17.6","56.9","55.7","58.1","12.6","12","13.1"
"Malawi","2015","58.3","56.7","59.9","15.4","14.5","16.1","51.2","50.2","52.3","11.6","11","12.2"
"Malaysia","2015","75.0","72.7","77.3","19.5","18.6","20.3","66.5","64.8","68.3","15","14.3","15.7"
"Maldives","2015","78.5","76.9","80.2","21.4","20.4","22.4","69.5","68.5","70.7","16.4","15.7","17.2"
"Mali","2015","58.2","58.2","58.3","15.9","15.9","16.0","51.1","51.6","50.7","11.8","11.9","11.8"
"Malta","2015","81.7","79.7","83.7","24.2","22.7","25.5","71.7","70.6","72.8","18.9","18","19.7"
"Mauritania","2015","63.1","61.6","64.6","16.5","15.8","17.1","55.1","54.4","55.9","12.1","11.7","12.5"
"Mauritius","2015","74.6","71.4","77.8","20.6","18.6","22.2","66.8","64.4","69.3","16.3","14.8","17.6"
"Mexico","2015","76.7","73.9","79.5","22.4","21.1","23.6","67.4","65.7","69.1","17.1","16.4","17.7"
"Micronesia (Federated States of)","2015","69.4","68.1","70.6","17.3","16.5","18.0","62.5","61.7","63.2","13.8","13.3","14.2"
"Mongolia","2015","68.8","64.7","73.2","17.1","15.2","18.8","62.1","58.8","65.7","13.9","12.4","15.2"
"Montenegro","2015","76.1","74.1","78.1","19.8","18.4","21.0","67.9","66.5","69.4","15.7","14.6","16.7"
"Morocco","2015","74.3","73.3","75.4","19.4","18.8","20.1","65.1","64.7","65.6","14.8","14.6","15.1"
"Mozambique","2015","57.6","55.7","59.4","16.6","16.0","17.2","49.6","48.3","50.8","12","11.5","12.4"
"Myanmar","2015","66.6","64.6","68.5","16.8","15.7","17.6","59.1","57.7","60.5","12.6","11.8","13.2"
"Namibia","2015","65.8","63.1","68.3","17.4","16.0","18.5","57.5","55.6","59.2","13.2","12.2","13.9"
"Nepal","2015","69.2","67.7","70.8","17.4","16.5","18.3","61.2","60.1","62.3","13.3","12.6","14"
"Netherlands","2015","81.9","80.0","83.6","24.2","22.6","25.7","72.2","71.2","73.2","19.3","18","20.4"
"New Zealand","2015","81.6","80.0","83.3","24.7","23.5","25.8","71.6","70.7","72.4","19.4","18.6","20.1"
"Nicaragua","2015","74.8","71.5","77.9","21.9","20.3","23.3","63.8","60.4","67.1","15","12.9","16.9"
"Niger","2015","61.8","60.9","62.8","16.2","15.6","16.7","54.2","53.9","54.6","11.9","11.6","12.2"
"Nigeria","2015","54.5","53.4","55.6","14.2","13.9","14.5","47.7","46.9","48.5","10.6","10.3","10.8"
"Norway","2015","81.8","79.8","83.7","24.2","22.6","25.6","72.0","70.6","73.4","19","17.8","20.2"
"Oman","2015","76.6","75.0","79.2","20.9","19.7","22.4","66.6","65.8","67.8","15.5","14.8","16.2"
"Pakistan","2015","66.4","65.5","67.5","17.8","17.6","18.0","57.8","57.5","58.1","13","13","13.1"
"Panama","2015","77.8","74.7","81.1","24.1","22.5","25.7","68.1","66.1","70.2","18.4","17.4","19.4"
"Papua New Guinea","2015","62.9","60.6","65.4","15.0","13.4","16.6","56.4","54.8","58.1","11.6","10.5","12.7"
"Paraguay","2015","74.0","72.2","76.0","21.2","20.1","22.3","65.2","64.2","66.3","16.3","15.6","17"
"Peru","2015","75.5","73.1","78.0","21.6","20.2","22.9","65.7","63.9","67.5","16","14.8","17.2"
"Philippines","2015","68.5","65.3","72.0","17.1","15.5","18.6","61.1","58.6","63.9","13.3","12","14.5"
"Poland","2015","77.5","73.6","81.3","21.8","19.2","24.0","68.7","65.7","71.6","17","15","18.7"
"Portugal","2015","81.1","78.2","83.9","24.1","22.0","26.0","71.4","69.5","73.2","19","17.4","20.3"
"Qatar","2015","78.2","77.4","80.0","21.3","20.8","22.2","67.8","67.5","68.4","15.8","15.7","16"
"Republic of Korea","2015","82.3","78.8","85.5","25.0","22.2","27.3","73.2","70.8","75.3","20","17.9","21.7"
"Republic of Moldova","2015","72.1","67.9","76.2","18.0","15.4","20.1","64.9","61.9","67.8","14.7","12.8","16.3"
"Romania","2015","75.0","71.4","78.8","20.2","17.9","22.1","66.8","64.0","69.7","15.9","14.2","17.4"
"Russian Federation","2015","70.5","64.7","76.3","18.6","15.1","21.2","63.4","59.0","67.8","15.1","12.5","17.1"
"Rwanda","2015","66.1","60.9","71.1","18.0","16.0","19.7","56.6","52.3","60.8","13.1","11.5","14.3"
"Saint Lucia","2015","75.2","72.6","77.9","21.3","19.4","23.1","66.1","64.7","67.6","16.3","15","17.5"
"Saint Vincent and the Grenadines","2015","73.2","71.3","75.2","20.1","19.1","21.0","64.6","63.7","65.6","15.4","14.8","15.9"
"Samoa","2015","74.0","70.9","77.5","19.2","16.7","21.8","66.6","64.4","69.0","15.3","13.5","17.2"
